File path: ;D:\MLDP\Example\dataset\/Summary/fold_information/Fold-3/performance_info.csv



;;TP;TN;FP;FN;ROC;
;;4;1;3;0;0.5;

ACC;0.625
SNS;1
SPC;0.25
NPV;1
PPV;0.571429

