Key;PET::Histogram::ih.max;PET::Intensity::stat.range;PET::Intensity::stat.max;PET::Intensity::loc.peak.global;PET::GLSZM::szm.sze;PET::Intensity::loc.peak.local;PET::GLCM::cm.diff.var;PET::GLSZM::szm.zsnu.norm;PET::GLSZM::szm.zsnu;PET::GLDZM::dzm.hgze;PET::GLCM::cm.sum.entr;PET::GLCM::cm.joint.entr;PET::Histogram::ih.entropy;PET::GLSZM::szm.hgze;PET::GLDZM::dzm.zd.entr;PET::Intensity::stat.P90;PET::IVHistogram::ivh.I10;PET::GLSZM::szm.szhge;PET::GLCM::cm.diff.entr
1;63.46300888;2.917579681;3.187453747;2.669454944;0.427660596;2.574131927;15.33269016;0.194499459;219.3953901;899.4632912;6.134808072;9.341206869;5.179325836;660.1755319;10.13955135;2.105055332;42.14748179;284.5395491;3.423556953
17;66.50617218;3.553661317;3.327984571;2.999557875;0.401994266;2.969700608;5.816663847;0.176765813;563.7061775;649.9123433;5.760221501;8.393279395;4.833520882;922.5841957;11.63637976;1.605309963;32.13646571;375.4822969;2.864418874
22;29.35775566;0.913257182;1.478129864;1.359954332;0.329338307;1.35610277;1.612496602;0.119846867;33.43727599;440.5491793;4.422332557;6.247669785;3.546469157;118.562724;8.124121312;1.305571437;26.14745369;36.40792368;2.141048747
32;35.10507965;1.443593353;1.787136316;1.549904606;0.327070177;1.542179683;2.943878546;0.128441032;103.3950311;447.9355805;5.08048566;7.352856199;4.190582677;230.5279503;9.650360501;1.435457587;28.72085949;70.8021208;2.525021044
45;48.28449631;2.485858019;2.439317465;2.171909884;0.472308023;2.1651667;8.041500181;0.223386822;339.9947438;448.5621198;5.875108864;8.754879322;4.959035249;509.7871222;10.57043858;1.620396733;32.41918942;216.2021733;3.095123061
52;63.38902283;3.071017921;3.185899734;2.714007292;0.440523789;2.609821344;16.27668289;0.210032132;318.1986799;1202.33424;6.328648578;9.6976416;5.377286948;1095.684488;10.56246181;2.47481823;49.54763694;479.7648632;3.583632129
56;104.019043;5.501520127;5.202168465;4.535641967;0.554199777;4.464746677;28.07360692;0.299527463;1326.607135;2501.613602;7.1435057;11.03921172;6.191262277;3166.757733;12.11095901;3.518382072;70.41296798;1769.871897;4.038789281
63;65.83207703;3.304881321;3.295340061;3.012138944;0.458267581;2.934122772;13.980523;0.218945861;761.0558113;1065.551783;6.523577922;9.805085724;5.575391039;1124.088032;11.76091087;2.496949911;49.95917555;498.4351616;3.449953631
